"Venue","Location","Use","Approx. Capacity","Latitude","Longitude",""
"1932 Pool (Exposition Park)","Los Angeles, CA","Aquatics","100000","34.01806","-118.2875",""
"Alamitos Beach","Long Beach, CA","Beach/Water Events","10000","33.75","-118.16667",""
"Arena (Honda Center)","Anaheim, CA","Indoor Sports","18000","33.80667","-117.8675",""
"Arena (Crypto.com)","Downtown Los Angeles, CA","Basketball/Gymnastics","18910","34.04306","-118.26722",""
"Arena (Intuit Dome)","Inglewood, CA","Basketball/Indoor Sports","17700","33.95278","-118.33611",""
"Arena (Long Beach)","Long Beach, CA","Indoor Sports","14000","33.751305","-118.188812",""
"Belmont Shore","Long Beach, CA","Surfing","10000","33.75889","-118.145",""
"Convention Center","Downtown Los Angeles, CA","Indoor Sports","22870","34.04306","-118.26722",""
"Convention Center","Long Beach, CA","Indoor Sports","13500","33.76583","-118.18694",""
"Convention Center Lot","Long Beach, CA","Fan Zones/Temporary Events","55000","33.76972","-118.18889",""
"Dodger Stadium","Los Angeles, CA","Baseball/Ceremonies","56000","34.07222","-118.24194",""
"Fairgrounds","Pomona, CA","Equestrian/Exhibitions","10000","34.08306","-117.75",""
"Fields","Carson, CA","Training/Secondary Sports","27000","33.84","-118.26",""
"LA Memorial Coliseum","Los Angeles, CA","Athletics/Ceremonies","77500","34.01417","-118.28778",""
"Marine Stadium","Long Beach, CA","Rowing/Canoe Sprint","14000","33.75889","-118.145",""
"Peacock Theater","Downtown Los Angeles, CA","Cultural Events","7100","34.04583","-118.25833",""
"Riviera Country Club","Los Angeles, CA","Golf","700","34.04","-118.48667",""
"Rose Bowl Stadium","Pasadena, CA","Football (Soccer)","85000","34.15639","-118.16333",""
"Santa Anita Park","Arcadia, CA","Equestrian","26000","34.13722","-118.03333",""
"Sepulveda Basin Recreation Area","Los Angeles, CA","Action Sports","6000","34.16667","-118.46667",""
"Shotgun Center","South El Monte, CA","Shooting","3000","34.04667","-118.045",""
"Softball Park","Oklahoma City, OK","Softball","13000","35.46667","-97.5",""
"Stadium","Carson, CA","Soccer/Rugby","27000","33.84778","-118.2575",""
"Stadium (BMO)","Los Angeles, CA","Soccer/Field Sports","22000","34.01417","-118.25556",""
"Stadium (SoFi)","Inglewood, CA","Ceremonies/Swimming (tentative)","38000","33.95333","-118.33611",""
"Tennis Center","Carson, CA","Tennis","8,000","33.84917","-118.26611",""
"Trestles Beach","San Clemente, CA","Surfing","5000","33.38972","-117.59333",""
"Universal Studios Lot","Los Angeles, CA","Media/Cultural","1000","34.1375","-118.35833",""
"USC Sports Center (Galen)","Los Angeles, CA","Basketball/Volleyball","10258","34.01667","-118.28333",""
"Velodrome (VELO Center)","Carson, CA","Track Cycling","8000","33.85833","-118.25833",""
"Venice Beach","Los Angeles, CA","3x3 Basketball/Skateboarding","5000","33.98556","-118.45944",""
"Waterfront","Long Beach, CA","Sailing/Open Water Events","10000","33.77005","-118.193741",""
"Whitewater Center","Oklahoma City, OK","Canoe/Kayak Slalom","2000","35.46667","-97.5",""
"","","","","","",""
