"FACILITY","4Digits","NAME","Address","City","State","Zip","Full Address","Latitude","Longitude"
"DIVISION","1","ACTIVE BUS OPERATING DIVISION","1130 E6TH ST","LOS ANGELES","CA","90021","1130 E6TH ST LOS ANGELES CA 90021","34.0382183","-118.2390421"
"DIVISION","2","ACTIVE BUS OPERATING DIVISION","720 E. 15TH ST","LOS ANGELES","CA","90021","720 E. 15TH ST LOS ANGELES CA 90021","34.0300792","-118.2547756"
"DIVISION","3","ACTIVE BUS OPERATING DIVISION","630 W. AVENUE 28","LOS ANGELES","CA","90021","630 W. AVENUE 28 LOS ANGELES CA 90021","34.0878686","-118.2240537"
"DIVISION","4","NON-REVENUE VEHICLE DIVISION","7878 TELEGRAPH RD","DOWNEY","CA","90065","7878 TELEGRAPH RD DOWNEY CA 90065","33.9712585","-118.1204697"
"DIVISION","5","ACTIVE BUS OPERATING DIVISION","5425 VAN NESS AVE.","LOS ANGELES","CA","90240","5425 VAN NESS AVE. LOS ANGELES CA 90240","33.9924042","-118.3174545"
"DIVISION","6","ACTIVE BUS OPERATING DIVISION","100 SUNSET AVE.","VENICE","CA","90062","100 SUNSET AVE. VENICE CA 90062","33.9939476","-118.4764373"
"DIVISION","7","ACTIVE BUS OPERATING DIVISION","8800 SANTA MONICA BLVD.","LOS ANGELES","CA","90291","8800 SANTA MONICA BLVD. LOS ANGELES CA 90291","34.0851972","-118.38201"
"DIVISION","8","ACTIVE BUS OPERATING DIVISION","9201 CANOGA AVE.","CHATSWORTH","CA","90069","9201 CANOGA AVE. CHATSWORTH CA 90069","34.2368801","-118.5980392"
"DIVISION","9","ACTIVE BUS OPERATING DIVISION","3369 SANTA ANITA AVE. (SEE LOCATION 85)","EL MONTE","CA","91311","3369 SANTA ANITA AVE. (SEE LOCATION 85) EL MONTE CA 91311","34.2710376","-118.61481"
"DIVISION","10","ACTIVE BUS OPERATING DIVISION","742 N. MISSION RD.","LOS ANGELES","CA","91731","742 N. MISSION RD. LOS ANGELES CA 91731","34.0574006","-118.2162795"
"DIVISION","11","BLUE LINE MAIN YARD","4350 E. 208th ST.","LONG BEACH","CA","90033","4350 E. 208th ST. LONG BEACH CA 90033","33.8348568","-118.2075189"
"DIVISION","12","INACTIVE BUS OPERATING DIVISION","970 W. CHESTER PL.","LONG BEACH","CA","90810","970 W. CHESTER PL. LONG BEACH CA 90810","33.7768819","-118.2027948"
"DIVISION","13","FUTURE BUS DIVISION","","LOS ANGELES","CA","90813","LOS ANGELES CA 90813","",""
"DIVISION","14","FUTURE EXPO DIVISION","","LOS ANGELES","CA","90012","LOS ANGELES CA 90012","",""
