name,lat,lon,stars,website,phone,addr:street,addr:city
Altadena Lodge,34.1725209,-118.0884025,,,,,
Elkhorn Lodge,34.494715,-118.3098011,,,,,
Hilton,34.1426927,-118.140912,,,,South Los Robles Avenue,Pasadena
DoubleTree,33.9115256,-118.070834,,,,Sycamore Drive,Norwalk
Zinkes Drive Inn,34.1456292,-118.138092,,,,,
Red Roof Inn San Dimas - Fairplex,34.1097352,-117.822156,,,,Village Court,San Dimas
,34.1074011,-117.8176937,,,,,
Quality Inn,34.1464563,-118.082713,,,,,
,34.2795586,-118.4703787,,,,,
Proper,34.0214015,-118.494992,,,,,
Aztec Hotel,34.151536,-118.0057963,,,,West Foothill Boulevard,Monrovia
,33.9824083,-118.4575418,,,,,
La Paloma,33.3419725,-118.3283672,,,,,
,33.8930105,-118.36554,,,,,
Luxe Rodeo Drive Hotel,34.0689163,-118.4024445,,https://www.luxehotels.com/rodeodrive,,North Rodeo Drive,Beverly Hills
Hotel Le Reve Pasadena,34.1464365,-118.0827141,,,,,
Tradewinds Airport Hotel,33.9451952,-118.3485826,,,,West Century Boulevard,Inglewood
,34.1927085,-118.5715064,,,,,
oceana,34.0214108,-118.5062859,,,,,
Venice Admiral Suites,33.9963389,-118.4810035,,,,,
Koryu,34.0768537,-118.2918843,,,,,
租房子,33.9870413,-117.8925164,,,,,
Ray W. Suites,34.1017759,-118.3366311,,,,,
Jolly Roger Hotel,33.9888471,-118.4515532,,,,,
Quality Inn Near Long Beach Airport,33.7902851,-118.1543377,,,,,
The Westin Long Beach,33.7670941,-118.189015,,,,,
Oakwood At The Village Redondo Beach,33.8409393,-118.389095,,,,,
,33.851505,-118.3982173,,,,,
,33.884245,-118.3957762,,,,,
,33.8991155,-118.3964728,,,,,
,33.8991744,-118.4169313,,,,,
,33.8863897,-118.4086106,,,,,
,33.9839067,-118.4576632,,,,,
,34.0612042,-118.3113352,,,,,
Hotel California,34.0025674,-118.460925,,,,Ocean Avenue,
Lawrence Motel,33.9940694,-118.4721511,,,,,
Hotel Bellanca,33.344958,-118.3271075,,,,Crescent Avenue,Avalon
Pavillon Hotel,33.3430604,-118.324969,,https://visitcatalina.com/,877-788-8322,Crescent Avenue,Avalon
,33.9255996,-118.3780931,,,,,
,34.0556504,-118.1349036,,,,,
Ayres Suites,34.0034056,-117.8297244,,,,,
Hotel Metropole,33.3445755,-118.32727,,,,Crescent Avenue,Avalon
,34.4197088,-118.4504344,,,,,
Freehand Los Angeles,34.0448734,-118.2567592,,,,West 8th Street,Los Angeles
"Hotel Per La, Autograph Collection",34.046847,-118.255517,,https://www.hotelperla.com/,+1-213-358-0000,South Olive Street,Los Angeles
Courtyard,34.0457869,-118.265787,,,,West Olympic Boulevard,Los Angeles
JW Marriott Los Angeles L.A. Live,34.0452979,-118.266482,,,,West Olympic Boulevard,Los Angeles
Tuck Hotel,34.0425115,-118.2539737,,,,South Spring Street,Los Angeles
,34.1479946,-118.253753,,,,,
,34.1413312,-118.0202017,,,,,
